source,author,title,publishedAt,description,urlToImage,url
"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,Blast reported in west of Afghan capital Kabul,2018-09-05T13:57:43Z,"An explosion was reported outside a sports hall in the west of the Afghan capital Kabul on Wednesday and casualties were likely, officials said.",https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,https://www.reuters.com/article/us-afghanistan-blast/blast-reported-in-west-of-afghan-capital-kabul-idUSKCN1LL1XI
"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,Trump slams Nike as Kaerpernick ads spark some boycotts,2018-09-05T13:57:33Z,"U.S. President Donald Trump on Wednesday criticized Nike Inc following the debut of its advertising campaign with Colin Kaepernick, the NFL quarterback who sparked a national controversy by kneeling during the national anthem.",https://s4.reutersmedia.net/resources/r/?m=02&d=20180905&t=2&i=1300987614&w=1200&r=LYNXNPEE8417X,https://www.reuters.com/article/us-nike-kaepernick/trump-slams-nike-as-kaerpernick-ads-spark-some-boycotts-idUSKCN1LL1WS
"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,Parents settle claim against fraternity in Penn State hazing death,2018-09-05T13:57:04Z,"The parents of a Penn State student who died during an alcohol-fueled fraternity hazing last year have settled a civil lawsuit they brought against the fraternity, the fraternity's national organization said.",https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,https://www.reuters.com/article/us-pennsylvania-hazing-death/parents-settle-claim-against-fraternity-in-penn-state-hazing-death-idUSKCN1LL1XA
"{'name': 'Reuters', 'id': 'reuters'}",Saikat Chatterjee,Sterling jumps to a three-day high on Brexit breakthrough hopes - Reuters,2018-09-05T13:56:46Z,"Reuters Sterling jumps to a three-day high on Brexit breakthrough hopes Reuters LONDON (Reuters) - Sterling jumped on Wednesday, rebounding off a two-week low, after a Bloomberg report that the United Kingdom and Germany were prepared to drop a key sticking p…",https://s1.reutersmedia.net/resources/r/?m=02&d=20180905&t=2&i=1300985694&w=1200&r=LYNXNPEE840E2,https://www.reuters.com/article/uk-britain-sterling-open/sterling-edges-lower-for-a-fifth-day-on-trade-war-fears-idUSKCN1LL0O8
"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,Blast reported in west of Afghan capital Kabul,2018-09-05T13:56:45Z,"A suicide bomber blew himself up in a wrestling club in the west of the Afghan capital Kabul on Wednesday, killing at least four people, officials said.",https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,https://in.reuters.com/article/afghanistan-blast/blast-reported-in-west-of-afghan-capital-kabul-idINKCN1LL1X8
"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,About 100 reported ill on board Emirates airline flight in New York,2018-09-05T13:56:21Z,"About 100 passengers on Wednesday morning were reported feeling ill on board an Emirates airline flight to New York from Dubai, causing the plane to be quarantined, according to local news media reports.",https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,https://www.reuters.com/article/new-york-flight/about-100-reported-ill-on-board-emirates-airline-flight-in-new-york-idUSL2N1VR0NQ
"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,"Bayer open for drug licensing deals, cutting debt remains priority",2018-09-05T13:55:56Z,Bayer is ready to spend money on more drug licensing agreements like last year's deal with Loxo Oncology but its priority is to reduce debt after the takeover of Monsanto.,https://s2.reutersmedia.net/resources/r/?m=02&d=20180905&t=2&i=1300987103&w=1200&r=LYNXNPEE84183,https://www.reuters.com/article/us-bayer-results-licensing/bayer-open-for-drug-licensing-deals-cutting-debt-remains-priority-idUSKCN1LL1X6
"{'name': 'Reuters', 'id': 'reuters'}",Suleiman Al-Khalidi,Syrian rebels hope Turkey can limit Russian-backed Idlib assault - Reuters,2018-09-05T13:55:00Z,ABC News Syrian rebels hope Turkey can limit Russian-backed Idlib assault Reuters AMMAN (Reuters) - Syrian rebels bracing for battle in northwest Syria are pinning their hopes on ally Turkey to intervene with Russia and prevent an all-out Syrian government of…,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,https://www.reuters.com/article/uk-mideast-crisis-syria-rebels/syrian-rebels-hope-turkey-can-limit-russian-backed-idlib-assault-idUKKCN1LL1WE
"{'name': 'Reuters', 'id': 'reuters'}",Suleiman Al-Khalidi,Syrian rebels hope Turkey can limit Russian-backed Idlib assault - Reuters,2018-09-05T13:55:00Z,ABC News Syrian rebels hope Turkey can limit Russian-backed Idlib assault Reuters AMMAN (Reuters) - Syrian rebels bracing for battle in northwest Syria are pinning their hopes on ally Turkey to intervene with Russia and prevent an all-out Syrian government of…,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,https://www.reuters.com/article/uk-mideast-crisis-syria-rebels/syrian-rebels-hope-turkey-can-limit-russian-backed-idlib-assault-idUKKCN1LL1WE
"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,"Bayer open for drug licensing deals, cutting debt remains priority",2018-09-05T13:54:55Z,Bayer is ready to spend money on more drug licensing agreements like last year's deal with Loxo Oncology but its priority is to reduce debt after the takeover of Monsanto.,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,https://www.reuters.com/article/bayer-results-licensing/bayer-open-for-drug-licensing-deals-cutting-debt-remains-priority-idUSL5N1VR3JS
